uuid,Skills Power,Health,Max Health,Play Time,Money,Job,Groups,Mobs,Name,money,job,mame,skills_power,max_health,health,groups,play_time,name,online
088872a4-2664-3bde-bc57-b72dfc839a11,77,28.799999237060547,28.799999237060547,5d 10h 6m 58s,$20.71k," - ","default, rank_adventurer",55,suricatode,0.0," - ",suricatode,,,,,,suricatode,no
91083dff-b066-35ea-b335-9a4a33a9149d,72,23.0,22.0,3d 3h 53m 24s,$2.37k," - ","default, rank_adventurer",48,itachi,0.0," - ",itachi,73,22.0,23.0,"default, rank_adventurer",278399,itachi,no
6c02cac8-e840-3cb5-8773-bb016299b0e4,20,8.6998929977417,20.0,2h 7m 15s,$1.41k," - ","god, rank_rookie",10,devbaraus,0.0," - ",devbaraus,,,,,,devbaraus,no
cb100c18-b4a1-353a-949b-745f4dc85f4e,6,6.2809858322143555,20.399999618530273,2d 19h 55m 13s,"-$1,852.90"," - ","god, rank_rookie",3,nolsup,0.0," - ",nolsup,6,20.399999618530273,6.2809858322143555,"god, rank_rookie",252095,nolsup,no
93b40e2c-96ac-333c-ba71-2e400e9baa24,71,22.399999618530273,22.399999618530273,5d 12h 20m 28s,$5.07k," - ","default, rank_adventurer, streamer",47,Joker282,0.0," - ",Joker282,72,22.399999618530273,16.70806312561035,"default, rank_explorer, streamer",500763,Joker282,no
9e8a6626-8678-3bde-ae5c-b29398d7a32a,16,20.0,20.0,,$258.09," - ",,,DreamWithGolden,0.0," - ",DreamWithGolden,,,,,,DreamWithGolden,no
f839b9da-0ff6-31d4-81da-60a6a710002a,50,15.537839889526367,22.399999618530273,3d 1h 19m 12s,$35.07," - ","default, rank_rookie",25,Jhoseff,0.0," - ",Jhoseff,,,,,,Jhoseff,no
00000000-0000-0000-0009-01ff394f33e1,66,20.45840072631836,23.200000762939453,3d 1h 9m 38s,$1.21k," - ",,,Amor2166,0.0," - ",Amor2166,,,,,,Amor2166,no
00000000-0000-0000-0009-01fc5bcc5522,64,24.399999618530273,24.399999618530273,2d 22h 28m 26s,$20.23k," - ","bedrock, default, rank_adventurer, streamer",38,oLemonBr,0.0," - ",oLemonBr,,,,,,oLemonBr,no
218c44be-9c83-3090-be8a-bb01f1e6177c,18,20.0,20.0,,$173.23," - ",,,Carioca_totoso,0.0," - ",Carioca_totoso,,,,,,Carioca_totoso,no
00000000-0000-0000-0009-01fa4ce7e281,0,18.0,20.0,,$109.69," - ",,,Guilhermekst,0.0," - ",Guilhermekst,,,,,,Guilhermekst,no
