Player,Deaths,name,online,job,money,skills_power,max_health,health,play_time,groups
Giovanigb,21,Giovanigb,no," - ",652.5783770597418,,,,,
Patitaflanejant,20,,,,,,,,,
Fluvio__,1,Fluvio__,no," - ",100.0,,,,,
ladrao,8,ladrao,no," - ",108.75,,,,,
Patita282,10,Patita282,yes,1 - §6Miner,51.000000000000036,23,20.0,14.953364372253418,72057,"default, rank_rookie"
suricatode,2,suricatode,no," - ",20712.89222310364,,,,,
Damon_f,2,Damon_f,no," - ",0.001489999999977419,,,,,
ImRayh,36,ImRayh,no," - ",-12838.498300552144,,,,,
SYLDRIFITER,4,SYLDRIFITER,no," - ",100.0,,,,,
babbyh,53,babbyh,no," - ",110.80000000000015,,,,,
FinishedMango93,7,FinishedMango93,no," - ",1007.5156268692089,,,,,
Travesso01,6,Travesso01,no," - ",100.0,,,,,
Nervosa_77,7,Nervosa_77,no," - ",172.7163197694066,,,,,
ll_ImRayh_ll,1,ll_ImRayh_ll,no," - ",100.0,,,,,
pedrofff,8,pedrofff,no," - ",1409.2141747730689,,,,,
KentHollward,5,KentHollward,no," - ",100.0,,,,,
Zander404,40,Zander404,no," - ",303.5703145081965,,,,,
Theuxzoficial,43,Theuxzoficial,yes,7 - §x§F§B§8§8§1§0Lumberjack,1344.451748572306,52,21.0,21.0,106727,"default, rank_survivor"
itachi,7,itachi,no," - ",2373.086070264399,,,,,
Jhoseff,22,Jhoseff,no," - ",35.07712821515158,,,,,
Miss_Glitter,8,Miss_Glitter,no," - ",5173.127661401668,,,,,
HeyPeter557,3,HeyPeter557,no," - ",2424.2255673755903,,,,,
fabricio,8,fabricio,no," - ",100.4,,,,,
RustlessFlame45,28,RustlessFlame45,no," - ",100.0,,,,,
kenrstt,13,kenrstt,no," - ",103.59999999999982,,,,,
Mateus796,20,Mateus796,no," - ",101.25,,,,,
oLemonBr,1,oLemonBr,no," - ",20231.26200842594,,,,,
_NoSmoke_,9,_NoSmoke_,no," - ",2597.4760646775308,,,,,
marteinmax2,1,marteinmax2,no," - ",30.174379999999992,,,,,
oVinni,2,oVinni,no," - ",35.9685,,,,,
devbaraus,10,devbaraus,no," - ",1418.7793683859832,,,,,
MichellZao,10,MichellZao,no," - ",0.0,,,,,
ManoBraxys,47,ManoBraxys,yes,8 - §6Miner,463.7245095282546,27,20.0,20.0,58003,"default, rank_rookie, streamer"
D4vimf,9,D4vimf,no," - ",1079.2476587946855,,,,,
Joker282,7,Joker282,no," - ",5071.318389304838,,,,,
Hereges,,Hereges,no," - ",100.0,,,,,
vinizninn,,vinizninn,no," - ",65.0,,,,,
ShockedScroll59,,ShockedScroll59,no," - ",100.0,,,,,
Scott233,,Scott233,no," - ",104.0,,,,,
adrianngggg,,adrianngggg,no," - ",102.0,,,,,
0WD_Gaster0,,0WD_Gaster0,no," - ",1148.04117,,,,,
YanGabriel20,,YanGabriel20,no," - ",120.44412999999999,,,,,
waldo,,waldo,no," - ",105.5373913043478,,,,,
KJdumonster,,KJdumonster,no," - ",0.0,,,,,
